Key Name                                          	Value Shape         	
image_encoder.resnet.5.2.bn1.weight               	torch.Size([128])   	
image_encoder.resnet.5.2.bn1.bias                 	torch.Size([128])   	
image_encoder.resnet.5.2.bn1.running_mean         	torch.Size([128])   	
image_encoder.resnet.5.2.bn1.running_var          	torch.Size([128])   	
image_encoder.resnet.5.2.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.5.2.conv2.weight             	torch.Size([128, 128, 3, 3])	
image_encoder.resnet.5.2.bn2.weight               	torch.Size([128])   	
image_encoder.resnet.5.2.bn2.bias                 	torch.Size([128])   	
image_encoder.resnet.5.2.bn2.running_mean         	torch.Size([128])   	
image_encoder.resnet.5.2.bn2.running_var          	torch.Size([128])   	
image_encoder.resnet.5.2.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.5.2.conv3.weight             	torch.Size([512, 128, 1, 1])	
image_encoder.resnet.5.2.bn3.weight               	torch.Size([512])   	
image_encoder.resnet.5.2.bn3.bias                 	torch.Size([512])   	
image_encoder.resnet.5.2.bn3.running_mean         	torch.Size([512])   	
image_encoder.resnet.5.2.bn3.running_var          	torch.Size([512])   	
image_encoder.resnet.5.2.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.5.3.conv1.weight             	torch.Size([128, 512, 1, 1])	
image_encoder.resnet.5.3.bn1.weight               	torch.Size([128])   	
image_encoder.resnet.5.3.bn1.bias                 	torch.Size([128])   	
image_encoder.resnet.5.3.bn1.running_mean         	torch.Size([128])   	
image_encoder.resnet.5.3.bn1.running_var          	torch.Size([128])   	
image_encoder.resnet.5.3.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.5.3.conv2.weight             	torch.Size([128, 128, 3, 3])	
image_encoder.resnet.5.3.bn2.weight               	torch.Size([128])   	
image_encoder.resnet.5.3.bn2.bias                 	torch.Size([128])   	
image_encoder.resnet.5.3.bn2.running_mean         	torch.Size([128])   	
image_encoder.resnet.5.3.bn2.running_var          	torch.Size([128])   	
image_encoder.resnet.5.3.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.5.3.conv3.weight             	torch.Size([512, 128, 1, 1])	
image_encoder.resnet.5.3.bn3.weight               	torch.Size([512])   	
image_encoder.resnet.5.3.bn3.bias                 	torch.Size([512])   	
image_encoder.resnet.5.3.bn3.running_mean         	torch.Size([512])   	
image_encoder.resnet.5.3.bn3.running_var          	torch.Size([512])   	
image_encoder.resnet.5.3.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.0.conv1.weight             	torch.Size([256, 512, 1, 1])	
image_encoder.resnet.6.0.bn1.weight               	torch.Size([256])   	
image_encoder.resnet.6.0.bn1.bias                 	torch.Size([256])   	
image_encoder.resnet.6.0.bn1.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.0.bn1.running_var          	torch.Size([256])   	
image_encoder.resnet.6.0.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.0.conv2.weight             	torch.Size([256, 256, 3, 3])	
image_encoder.resnet.6.0.bn2.weight               	torch.Size([256])   	
image_encoder.resnet.6.0.bn2.bias                 	torch.Size([256])   	
image_encoder.resnet.6.0.bn2.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.0.bn2.running_var          	torch.Size([256])   	
image_encoder.resnet.6.0.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.0.conv3.weight             	torch.Size([1024, 256, 1, 1])	
image_encoder.resnet.6.0.bn3.weight               	torch.Size([1024])  	
image_encoder.resnet.6.0.bn3.bias                 	torch.Size([1024])  	
image_encoder.resnet.6.0.bn3.running_mean         	torch.Size([1024])  	
image_encoder.resnet.6.0.bn3.running_var          	torch.Size([1024])  	
image_encoder.resnet.6.0.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.0.downsample.0.weight      	torch.Size([1024, 512, 1, 1])	
image_encoder.resnet.6.0.downsample.1.weight      	torch.Size([1024])  	
image_encoder.resnet.6.0.downsample.1.bias        	torch.Size([1024])  	
image_encoder.resnet.6.0.downsample.1.running_mean	torch.Size([1024])  	
image_encoder.resnet.6.0.downsample.1.running_var 	torch.Size([1024])  	
image_encoder.resnet.6.0.downsample.1.num_batches_tracked	torch.Size([])      	
image_encoder.resnet.6.1.conv1.weight             	torch.Size([256, 1024, 1, 1])	
image_encoder.resnet.6.1.bn1.weight               	torch.Size([256])   	
image_encoder.resnet.6.1.bn1.bias                 	torch.Size([256])   	
image_encoder.resnet.6.1.bn1.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.1.bn1.running_var          	torch.Size([256])   	
image_encoder.resnet.6.1.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.1.conv2.weight             	torch.Size([256, 256, 3, 3])	
image_encoder.resnet.6.1.bn2.weight               	torch.Size([256])   	
image_encoder.resnet.6.1.bn2.bias                 	torch.Size([256])   	
image_encoder.resnet.6.1.bn2.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.1.bn2.running_var          	torch.Size([256])   	
image_encoder.resnet.6.1.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.1.conv3.weight             	torch.Size([1024, 256, 1, 1])	
image_encoder.resnet.6.1.bn3.weight               	torch.Size([1024])  	
image_encoder.resnet.6.1.bn3.bias                 	torch.Size([1024])  	
image_encoder.resnet.6.1.bn3.running_mean         	torch.Size([1024])  	
image_encoder.resnet.6.1.bn3.running_var          	torch.Size([1024])  	
image_encoder.resnet.6.1.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.2.conv1.weight             	torch.Size([256, 1024, 1, 1])	
image_encoder.resnet.6.2.bn1.weight               	torch.Size([256])   	
image_encoder.resnet.6.2.bn1.bias                 	torch.Size([256])   	
image_encoder.resnet.6.2.bn1.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.2.bn1.running_var          	torch.Size([256])   	
image_encoder.resnet.6.2.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.2.conv2.weight             	torch.Size([256, 256, 3, 3])	
image_encoder.resnet.6.2.bn2.weight               	torch.Size([256])   	
image_encoder.resnet.6.2.bn2.bias                 	torch.Size([256])   	
image_encoder.resnet.6.2.bn2.running_mean         	torch.Size([256])   	
image_encoder.resnet.6.2.bn2.running_var          	torch.Size([256])   	
image_encoder.resnet.6.2.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.6.2.conv3.weight             	torch.Size([1024, 256, 1, 1])	
image_encoder.resnet.6.2.bn3.weight               	torch.Size([1024])  	
image_encoder.resnet.6.2.bn3.bias                 	torch.Size([1024])  	
image_encoder.resnet.6.2.bn3.running_mean         	torch.Size([1024])  	
image_encoder.resnet.6.2.bn3.running_var          	torch.Size([1024])  	
